,colgadas
532,337.0
533,344.0
534,355.0
535,325.0
536,320.0
537,342.0
538,340.0
539,320.0
540,391.0
541,337.0
542,327.0
543,341.0
544,326.0
545,336.0
546,340.0
547,319.0
548,330.0
549,341.0
550,309.0
551,345.0
552,324.0
553,309.0
554,333.0
555,307.0
556,366.0
557,312.0
558,303.0
559,346.0
560,313.0
561,365.0
562,369.0
563,317.0
564,291.0
565,286.0
566,339.0
567,354.0
568,363.0
569,346.0
570,276.0
571,325.0
572,312.0
573,328.0
574,330.0
575,302.0
576,317.0
577,353.0
578,331.0
579,291.0
580,336.0
581,337.0
582,342.0
583,325.0
584,365.0
585,344.0
586,342.0
587,388.0
588,300.0
589,335.0
590,326.0
591,314.0
592,315.0
593,345.0
594,345.0
595,315.0
596,356.0
597,365.0
598,305.0
599,362.0
600,321.0
601,320.0
602,351.0
603,266.0
604,345.0
605,334.0
606,360.0
607,349.0
608,352.0
609,336.0
610,315.0
611,308.0
612,367.0
613,326.0
614,340.0
615,342.0
616,328.0
617,274.0
618,360.0
619,282.0
620,302.0
621,324.0
622,360.0
623,363.0
624,325.0
625,340.0
626,314.0
627,346.0
628,302.0
629,297.0
630,331.0
631,327.0
632,360.0
633,328.0
634,335.0
635,329.0
636,303.0
637,320.0
638,284.0
639,299.0
640,337.0
641,310.0
642,330.0
643,364.0
644,312.0
645,353.0
646,363.0
647,308.0
648,310.0
649,339.0
650,317.0
651,364.0
652,295.0
653,335.0
654,317.0
655,332.0
656,345.0
657,314.0
658,315.0
659,347.0
660,337.0
661,287.0
662,303.0
663,343.0
664,319.0
665,321.0
666,357.0
667,314.0
668,321.0
669,305.0
670,323.0
671,334.0
672,292.0
673,336.0
674,311.0
675,332.0
676,351.0
677,355.0
678,348.0
679,343.0
680,310.0
681,330.0
682,333.0
683,360.0
684,324.0
685,334.0
686,340.0
687,307.0
688,305.0
689,335.0
690,337.0
691,283.0
692,311.0
693,363.0
694,320.0
695,362.0
696,320.0
697,345.0
698,307.0
699,325.0
700,318.0
701,340.0
